X,l(x),d(x)
91,"45,079.00",877.8333333
91,"44,201.17",877.8333333
91,"43,323.33",877.8333333
91,"42,445.50",877.8333333
91,"41,567.67",877.8333333
91,"40,689.83",877.8333333
91,"39,812.00",877.8333333
91,"38,934.17",877.8333333
91,"38,056.33",877.8333333
91,"37,178.50",877.8333333
91,"36,300.67",877.8333333
91,"35,422.83",877.8333333
92,"34,545.00",742.6666667
92,"33,802.33",742.6666667
92,"33,059.67",742.6666667
92,"32,317.00",742.6666667
92,"31,574.33",742.6666667
92,"30,831.67",742.6666667
92,"30,089.00",742.6666667
92,"29,346.33",742.6666667
92,"28,603.67",742.6666667
92,"27,861.00",742.6666667
92,"27,118.33",742.6666667
92,"26,375.67",742.6666667
93,"25,633.00",609
93,"25,024.00",609
93,"24,415.00",609
93,"23,806.00",609
93,"23,197.00",609
93,"22,588.00",609
93,"21,979.00",609
93,"21,370.00",609
93,"20,761.00",609
93,"20,152.00",609
93,"19,543.00",609
93,"18,934.00",609
94,"18,325.00",481.5
94,"17,843.50",481.5
94,"17,362.00",481.5
94,"16,880.50",481.5
94,"16,399.00",481.5
94,"15,917.50",481.5
94,"15,436.00",481.5
94,"14,954.50",481.5
94,"14,473.00",481.5
94,"13,991.50",481.5
94,"13,510.00",481.5
94,"13,028.50",481.5
95,"12,547.00",346.0833333
95,"12,200.92",346.0833333
95,"11,854.83",346.0833333
95,"11,508.75",346.0833333
95,"11,162.67",346.0833333
95,"10,816.58",346.0833333
95,"10,470.50",346.0833333
95,"10,124.42",346.0833333
95,"9,778.33",346.0833333
95,"9,432.25",346.0833333
95,"9,086.17",346.0833333
95,"8,740.08",346.0833333
96,"8,394.00",243.1666667
96,"8,150.83",243.1666667
96,"7,907.67",243.1666667
96,"7,664.50",243.1666667
96,"7,421.33",243.1666667
96,"7,178.17",243.1666667
96,"6,935.00",243.1666667
96,"6,691.83",243.1666667
96,"6,448.67",243.1666667
96,"6,205.50",243.1666667
96,"5,962.33",243.1666667
96,"5,719.17",243.1666667
97,"5,476.00",166.5
97,"5,309.50",166.5
97,"5,143.00",166.5
97,"4,976.50",166.5
97,"4,810.00",166.5
97,"4,643.50",166.5
97,"4,477.00",166.5
97,"4,310.50",166.5
97,"4,144.00",166.5
97,"3,977.50",166.5
97,"3,811.00",166.5
97,"3,644.50",166.5
98,"3,478.00",111.0833333
98,"3,366.92",111.0833333
98,"3,255.83",111.0833333
98,"3,144.75",111.0833333
98,"3,033.67",111.0833333
98,"2,922.58",111.0833333
98,"2,811.50",111.0833333
98,"2,700.42",111.0833333
98,"2,589.33",111.0833333
98,"2,478.25",111.0833333
98,"2,367.17",111.0833333
98,"2,256.08",111.0833333
99,"2,145.00",71.91666667
99,"2,073.08",71.91666667
99,"2,001.17",71.91666667
99,"1,929.25",71.91666667
99,"1,857.33",71.91666667
99,"1,785.42",71.91666667
99,"1,713.50",71.91666667
99,"1,641.58",71.91666667
99,"1,569.67",71.91666667
99,"1,497.75",71.91666667
99,"1,425.83",71.91666667
99,"1,353.92",71.91666667
100,"1,282.00",45.16666667
100,"1,236.83",45.16666667
100,"1,191.67",45.16666667
100,"1,146.50",45.16666667
100,"1,101.33",45.16666667
100,"1,056.17",45.16666667
100,"1,011.00",45.16666667
100,965.83,45.16666667
100,920.67,45.16666667
100,875.50,45.16666667
100,830.33,45.16666667
100,785.17,45.16666667
101,740.00,27.33333333
101,712.67,27.33333333
101,685.33,27.33333333
101,658.00,27.33333333
101,630.67,27.33333333
101,603.33,27.33333333
101,576.00,27.33333333
101,548.67,27.33333333
101,521.33,27.33333333
101,494.00,27.33333333
101,466.67,27.33333333
101,439.33,27.33333333
102,412.00,15.91666667
102,396.08,15.91666667
102,380.17,15.91666667
102,364.25,15.91666667
102,348.33,15.91666667
102,332.42,15.91666667
102,316.50,15.91666667
102,300.58,15.91666667
102,284.67,15.91666667
102,268.75,15.91666667
102,252.83,15.91666667
102,236.92,15.91666667
103,221.00,9.083333333
103,211.92,9.083333333
103,202.83,9.083333333
103,193.75,9.083333333
103,184.67,9.083333333
103,175.58,9.083333333
103,166.50,9.083333333
103,157.42,9.083333333
103,148.33,9.083333333
103,139.25,9.083333333
103,130.17,9.083333333
103,121.08,9.083333333
104,112.00,4.833333333
104,107.17,4.833333333
104,102.33,4.833333333
104,97.50,4.833333333
104,92.67,4.833333333
104,87.83,4.833333333
104,83.00,4.833333333
104,78.17,4.833333333
104,73.33,4.833333333
104,68.50,4.833333333
104,63.67,4.833333333
104,58.83,4.833333333
105,54.00,4.5
105,49.50,4.5
105,45.00,4.5
105,40.50,4.5
105,36.00,4.5
105,31.50,4.5
105,27.00,4.5
105,22.50,4.5
105,18.00,4.5
105,13.50,4.5
105,9.00,4.5
105,4.50,4.5
